Cities,Adilabad,Adoni,Alwal,Anakapalle,Anantapur,Bapatla,Belampalli,Bhimavaram,Bhongir,Bobbili,Bodhan,Chilakalurupet,Chirala,Chittur,Cuddapah,Dharmavaram,Dhone,Eluru,Gaddiannaram,Gadwal,Gajuwaka,Gudivada,Gudur,Guntakal,Guntur,Hindupur,Hyderabad,Jagtial,Kadiri,Kagaznagar,Kakinada,Kallur,Kamareddi,Kapra,Karimnagar,Karnul,Khammam,Kondukur,Koratla,Kottagudem,Kukatpalle,Machilipatnam,Mahbubnagar,Malkajgiri,Mancheral,Mandamarri,Mangalagiri,Markapur,Miryalaguda,Nalgonda,Nandyal,Narasapur,Narasaraopet,Nellur,Nirmal,Nizamabad,Nuzvid,Ongole,Palakollu,Palwancha,Patancheru,Piduguralla,Ponnur,Proddatur,Qutubullapur,Rajamahendri,Rajampet,Rajendranagar,Ramagundam,Rayachoti,Rayadrug,Samalkot,Sangareddi,Sattenapalle,Serilungampalle,Siddipet,Sirsilla,Srikakulam,Srikalahasti,Suriapet,Tadepalle,Tadepallegudem,Tadpatri,Tanuku,Tenali,Tirupati,Tuni,Vijayawada,Vinukonda,Visakhapatnam,Vizianagaram,Vuyyuru,Wanparti,Warangal
Adilabad,0,469.5493747,242.4833279,520.3717539,562.8511702,466.9446673,122.0798991,470.9106267,243.072689,523.3825744,132.4209062,433.9608233,468.5972807,721.1095072,579.1601214,591.5256429,478.8241323,427.4291855,258.055368,391.4368278,540.0086878,445.060219,630.6855347,515.4401399,425.8162581,660.2243189,253.6588201,105.7044259,619.6889954,106.5389442,494.9301313,451.0519807,152.4524034,256.9950128,150.6527116,431.4963517,319.7842309,517.2319558,97.71623141,324.1346465,243.9216018,476.3914216,332.1375585,237.0039361,131.3315465,126.3778154,419.4574501,446.4836935,331.2909734,301.4361304,466.083137,491.3301076,414.6363822,600.7237184,65.08845928,120.0528454,405.0998703,492.0656813,489.2832028,323.8300611,240.7094182,384.2751522,455.4056973,550.5917721,250.3470715,453.8304207,615.5392835,266.2491467,137.5328754,626.6612275,581.3103425,483.0565961,232.8998357,404.4073158,245.6123249,177.6516568,145.3860436,585.243903,670.1592829,304.0097385,417.8281131,448.2511238,533.5413748,466.5292263,443.5130328,679.4353825,496.8925558,415.7165073,423.9101398,547.3084297,541.0270882,442.4277285,371.3705697,216.1488906
Adoni,469.5493747,0,247.602841,651.1140878,108.6654016,342.8814657,447.8730009,465.5799167,270.7135616,725.2386841,343.0050448,312.5393652,329.5050667,332.098402,208.2514219,142.294471,68.41389562,426.7191014,233.4873672,86.87525996,672.4669818,407.7452961,320.6581182,50.97535691,346.2767243,201.366254,234.8082713,392.8203727,192.7653417,474.0678763,549.7871483,52.90213904,320.1248506,232.0231492,370.2495159,83.32268146,355.2535212,285.6584775,386.3892556,417.5509619,239.4061982,417.5644325,144.3423381,255.1605392,428.7120279,438.2783811,362.0222767,214.4688862,280.7485367,264.4967327,129.5232178,481.2049898,302.8911369,317.8785104,404.4620482,350.2629716,402.1846931,297.1572011,487.8903859,423.4652826,236.2210391,295.5794185,354.3542192,169.1376421,237.0351178,505.6154904,259.3833837,219.3422447,421.2643253,236.357181,112.4187517,546.6225677,238.2371796,321.6543478,234.2537325,321.9636746,348.4319439,764.2469596,333.2405687,301.5455492,367.2504581,471.7620434,111.276216,487.2469891,366.7652938,319.4237183,593.6982595,371.4755427,268.3999054,682.5699234,707.764061,390.473758,117.9389135,360.6062215
Alwal,242.4833279,247.602841,0,473.3375623,327.5692328,271.2030643,200.4372881,335.0918983,36.13435711,524.5014294,146.6896558,232.3876719,266.9939703,479.8356306,337.1520764,353.8966045,241.8314623,286.6491616,15.71615354,161.7383777,495.6151739,287.0375855,397.7343755,286.6781664,241.6703148,423.6986524,12.81620251,149.7935404,378.1492623,227.4340144,397.6361376,217.4131874,93.39897498,15.79965283,122.7283423,193.5395191,173.1554799,292.7288428,148.0506676,222.8337413,13.83579304,312.791245,103.3910516,7.684777162,181.1289178,190.7536227,245.1155025,212.0869225,129.9616473,90.79080907,223.6635128,355.8733998,212.4459684,371.538808,181.3057956,139.2518203,258.2570498,274.6250326,358.3980211,227.2236247,28.83345213,183.8495045,267.524222,308.1084907,10.76037952,349.3169663,375.3838287,28.26836094,173.6646692,384.4004769,358.942818,389.6808824,50.87815662,213.1115298,22.38918998,74.92003761,104.1038879,574.2435615,434.152331,121.105584,246.7572884,325.6107128,293.8011733,345.0690085,264.7295802,440.4332252,425.8821248,247.5837285,206.4369361,505.2630302,519.2525249,276.0648427,135.2734332,123.9156196
Anakapalle,520.3717539,651.1140878,473.3375623,0,666.6576234,334.3172145,400.607565,201.2353956,437.2039296,105.4069686,551.7101353,350.1841767,349.2671539,649.544147,572.6626793,672.2411155,601.399748,227.962598,476.5847171,576.5480649,22.28091894,254.0771683,518.8853848,662.2797163,312.5802548,730.2924522,480.442849,449.3363545,652.3945771,414.1287199,114.4786121,599.9419812,496.8406448,480.7178429,417.8572332,568.2834717,306.3142041,429.0790478,469.23133,250.5960252,487.1695709,258.8487466,543.7034227,467.7592296,397.5929002,398.971025,294.3505442,452.2830948,375.534062,403.1458476,540.3658527,195.2676721,353.7989833,482.9359761,515.8656247,529.3602667,249.8252551,397.7514132,185.9954879,246.1146552,501.7646048,356.0055338,316.0864779,578.1286755,481.2493127,148.5117698,565.8271324,491.0703675,394.8029107,608.7622517,734.2979464,111.7474485,521.4886883,332.4395814,495.7073884,442.7789923,450.0986546,116.9121785,562.0123718,363.7015072,288.4827126,184.6051841,616.8215698,174.0755353,297.5145311,593.0354083,60.89747461,283.5727457,391.0721311,32.09739692,63.87498357,271.7316944,544.4598593,363.8337032
Anantapur,562.8511702,108.6654016,327.5692328,666.6576234,0,337.0123778,525.4142932,469.5163786,342.6163701,751.3611975,441.5520727,316.5397527,322.1528115,231.6587119,133.5846634,33.71748607,85.92970663,438.7682691,312.1254166,171.6641192,686.7109988,413.4501288,249.976639,58.39119047,354.0785333,97.49376229,315.0256377,477.2110931,89.06554267,553.8457457,557.4502154,111.7997183,410.7247903,311.8483935,448.2452726,134.2647185,394.1740501,255.9262017,473.7983087,455.3869698,322.4642318,415.1081784,230.7185709,334.5249779,505.3496717,515.3784541,372.4468148,214.5376188,321.1948585,317.5261768,129.8326884,481.4443915,313.5530804,258.6583384,498.240087,446.0153342,418.7089484,278.7578564,489.4460726,461.5281237,323.0564461,316.9278819,353.0793544,103.3321859,317.8883209,518.1641386,179.7501923,300.5136715,497.1925114,144.3908432,77.46406938,556.7731384,330.0796518,335.8215182,319.1698175,402.0528357,431.6093746,782.935885,250.366999,348.4248684,378.3962759,482.2486871,49.89542018,494.6317624,370.0497644,229.5437698,606.6171647,383.4412931,276.0616221,696.6924135,727.2137283,395.658091,192.744143,425.0215707
Bapatla,466.9446673,342.8814657,271.2030643,334.3172145,337.0123778,0,365.4693686,133.7263933,246.4906503,427.1133162,411.351626,39.3090304,15.01501139,333.5765594,238.8469464,339.4936469,282.6859942,113.0703775,263.0558804,287.5874811,353.2021827,81.73682717,207.1317248,341.9732498,44.6072819,396.0233997,269.1350735,361.6003686,318.1545148,395.6843497,222.028171,290.0058856,350.1962407,267.1065889,316.3738775,261.2063601,152.9018404,97.42080994,373.1923596,184.4203212,281.1548777,78.0976909,281.3683773,270.8810297,347.6361478,356.5170929,59.73066421,128.9139494,143.6150248,181.7049673,218.1487829,144.4707084,58.8176447,169.6432512,421.9408446,397.8237815,104.9257985,64.04890052,152.6209797,189.304266,295.6157587,87.90133992,20.23201187,244.2322813,272.0233273,187.26493,237.7529982,269.6585945,339.199303,277.407124,408.9917675,222.7657556,318.405085,62.6934533,287.1837208,299.8903432,328.3718348,451.22797,253.0681219,165.0397286,64.90384193,151.0043907,287.2634014,160.2751222,41.44199572,278.0479551,273.4839736,69.96909314,78.54977504,362.9874854,396.8973126,65.31762391,261.4822786,252.0428317
Belampalli,122.0798991,447.8730009,200.4372881,400.607565,525.4142932,365.4693686,0,352.999425,183.0069072,412.1207145,175.2076377,336.8157991,369.5988665,650.9159408,514.5509106,549.8074826,439.5053176,311.6797515,215.0774962,362.1701203,420.7796554,332.4283668,547.4102388,486.8421547,322.0196123,619.9597015,213.2534739,67.52989115,567.4576602,31.1620625,373.0502587,416.9332305,145.6101173,216.153562,77.72577226,391.2421241,213.0672706,429.4480241,85.29490896,206.357003,208.5823643,363.9972109,303.5315537,192.9810781,20.45870809,10.2292373,312.6854609,371.0651893,243.7403328,223.7851776,411.3196348,372.9262856,319.0380765,514.31001,120.0141452,152.2825965,291.5960929,400.4183003,370.2695087,205.3251564,213.448958,290.2397209,351.3950502,491.8997569,210.904024,332.6413555,543.8712411,228.6322564,29.22437806,562.8145485,559.3796076,361.1059355,217.8494183,304.7665927,214.2336619,125.9439904,102.5678294,472.2943786,589.9434047,212.8930313,310.1195816,328.9632497,488.0442867,346.7409971,336.8992076,604.038293,375.1058527,307.2366256,335.9349362,428.4615267,425.2562924,332.092116,334.8989391,117.1763517
Bhimavaram,470.9106267,465.5799167,335.0918983,201.2353956,469.5163786,133.7263933,352.999425,0,301.7674275,297.5764007,452.5527656,154.5690618,148.7389552,453.2150383,371.4630647,473.0453558,410.0180389,48.59144282,332.6751616,399.6096812,219.6629045,57.83463411,322.6714461,470.4343849,119.31424,529.6087647,337.9576813,373.7880257,451.3429464,378.6169141,88.30721592,413.0009029,390.6733964,337.0646068,330.8683771,382.3394158,166.2292029,227.8595048,390.3985898,146.8924291,347.9120244,57.75577077,378.9048417,331.8324469,340.1884298,346.5014297,104.1734511,257.1200926,211.8152065,248.2740998,346.7294862,21.27044225,162.6890007,285.7243068,441.6604107,433.9744549,76.84291436,196.6566173,23.6947492,147.6755727,363.414572,173.9987743,116.5041698,377.9586264,339.8997411,59.1573415,365.4456926,344.1250435,333.4925462,407.7568577,539.8921889,89.48857291,385.9576396,144.9582899,355.7199086,334.1898733,354.4182018,318.0303203,367.2832812,213.9985381,99.48127777,30.05094916,419.6389087,28.02866059,100.0327116,396.6253047,140.3414835,96.02495258,198.0007044,229.388441,264.4152343,75.24888715,369.6209567,263.1783355
Bhongir,243.072689,270.7135616,36.13435711,437.2039296,342.6163701,246.4906503,183.0069072,301.7674275,0,488.9888762,165.09826,208.616517,243.8214544,478.8696083,338.2214904,366.8036813,256.7816864,253.1993619,42.1440203,183.8542955,459.4813626,255.5212023,388.6615127,306.1274081,213.7109799,436.9540793,44.4913836,142.4094859,385.9482484,212.1075062,362.3289972,235.4358826,105.1872563,45.60694131,106.771356,208.6575085,138.1131388,278.4405559,145.5840576,186.7151308,49.9685931,282.4181797,129.1470363,30.93826048,162.8211208,172.9062967,215.337477,203.6140315,102.9693491,65.16623579,229.7903516,322.7254023,188.4509971,360.1072865,186.5588326,153.128044,224.9747802,257.0006079,324.8751202,191.0906079,64.71050803,158.5963371,240.8598112,312.3276481,44.63652983,314.0457061,372.8008405,57.95880231,154.5943873,386.2181635,380.1466642,354.1817999,85.70806439,186.140632,58.51435024,65.76216098,98.16207571,538.3311197,427.3434098,88.69711032,216.455653,291.1591629,305.1421597,310.7142604,236.137089,436.3928649,389.9117408,216.8270323,187.9300072,469.1286828,483.2537762,245.5523981,154.2385576,92.02410026
Bobbili,523.3825744,725.2386841,524.5014294,105.4069686,751.3611975,427.1133162,412.1207145,297.5764007,488.9888762,0,578.7693852,437.744367,441.7538239,750.0550723,665.7862091,759.767973,680.9315929,315.7875325,530.4927218,645.8901962,98.23674163,345.4359986,619.313642,741.5263091,399.8074593,820.6495582,533.4283352,470.6217327,744.3235753,418.0756981,215.3963551,675.8899512,530.4007829,534.2942155,447.4058011,643.9973768,371.0724448,523.8289752,490.7035544,309.7702165,538.1613775,355.112333,606.4222009,518.0375461,414.3706502,413.1196207,380.7474309,537.3056299,444.7886258,466.493315,622.6841502,294.9257557,438.2450086,582.7591895,531.9516978,555.5970473,333.1031824,491.1523417,285.4960727,304.1961929,551.5941773,435.295612,407.8460637,667.9307062,533.6092948,240.2550257,662.7233769,545.8856584,413.8229948,704.1626153,815.4162221,209.9725978,568.951146,415.6590847,546.6718558,480.9926107,481.3980071,63.47989444,663.2094065,427.25718,374.6338342,276.2549213,701.957409,269.5975914,387.9356509,693.4497777,161.0658662,369.356449,475.7181282,93.72553514,50.15353556,362.4296135,613.2053627,405.0723826
