Adilabad,19.6640624,78.5320107,26,pm2.5,"{""datetime"":""2018-11-17T17:00:00"",""country_name"":""India"",""breezometer_aqi"":""26"",""breezometer_color"":""#FF7000"",""breezometer_description"":""Low air quality"",""country_aqi"":""179"",""country_aqi_prefix"":"""",""country_color"":""#FFFF00"",""country_description"":""Moderate air quality"",""data_valid"":""true"",""key_valid"":""true"",""random_recommendations"":{""children"":""Think about your children's health. Now is not the time to go outside with them"",""sport"":""With this air quality level, you should check the area for cleaner places to engage in outdoor activity"",""health"":""Don't take any chances - keep your prescription medication(s) nearby \u0026 limit your physical activity"",""inside"":""It is a good idea to stay in closed \u0026 air conditioned places"",""outside"":""In these conditions you should minimize your time outside as much as possible""},""dominant_pollutant_canonical_name"":""pm25"",""dominant_pollutant_description"":""Fine particulate matter (\u003c2.5µm)"",""dominant_pollutant_text"":{""main"":""The dominant pollutant is fine particulate matter (PM2.5)."",""effects"":""Particles enter the lungs and cause local and systemic inflammation in the respiratory system \u0026 heart, thus cause cardiovascular and respiratory diseases such as asthma and bronchitis."",""causes"":""Main sources are fuel burning processes in industry, transportation and indoor heating.""},""pollutants"":{""co"":{""pollutant_description"":""Carbon monoxide"",""units"":""ppb"",""concentration"":""519.47""},""nh3"":{""pollutant_description"":""Ammonia"",""units"":""ppb"",""concentration"":""""},""no2"":{""pollutant_description"":""Nitrogen dioxide"",""units"":""ppb"",""concentration"":""21.59""},""o3"":{""pollutant_description"":""Ozone"",""units"":""ppb"",""concentration"":""25.35""},""pm10"":{""pollutant_description"":""Inhalable particulate matter (\u003c10µm)"",""units"":""ug/m3"",""concentration"":""134.43""},""pm25"":{""pollutant_description"":""Fine particulate matter (\u003c2.5µm)"",""units"":""ug/m3"",""concentration"":""87.93""},""so2"":{""pollutant_description"":""Sulfur dioxide"",""units"":""ppb"",""concentration"":""5.93""}}}"
Adoni,15.6322227,77.2728368,69,pm2.5,"{""datetime"":""2018-11-17T17:00:00"",""country_name"":""India"",""breezometer_aqi"":""69"",""breezometer_color"":""#8AD130"",""breezometer_description"":""Good air quality"",""country_aqi"":""60"",""country_aqi_prefix"":"""",""country_color"":""#92D050"",""country_description"":""Satisfactory air quality"",""data_valid"":""true"",""key_valid"":""true"",""random_recommendations"":{""children"":""Have fun with the kids outside, but stay alert for our notifications"",""sport"":""You can exercise outdoors - but make sure to stay alert to our notifications"",""health"":""There is no real danger for people with health sensitivities. Just keep an eye out for changes in air quality for the next few hours"",""inside"":""The amount of pollutants in the air is noticeable, but still there is no danger to health - It is recommended to watch for changes"",""outside"":""You can go out, but please pay attention for changes in air quality""},""dominant_pollutant_canonical_name"":""pm25"",""dominant_pollutant_description"":""Fine particulate matter (\u003c2.5µm)"",""dominant_pollutant_text"":{""main"":""The dominant pollutant is fine particulate matter (PM2.5)."",""effects"":""Particles enter the lungs and cause local and systemic inflammation in the respiratory system \u0026 heart, thus cause cardiovascular and respiratory diseases such as asthma and bronchitis."",""causes"":""Main sources are fuel burning processes in industry, transportation and indoor heating.""},""pollutants"":{""co"":{""pollutant_description"":""Carbon monoxide"",""units"":""ppb"",""concentration"":""217.84""},""nh3"":{""pollutant_description"":""Ammonia"",""units"":""ppb"",""concentration"":""""},""no2"":{""pollutant_description"":""Nitrogen dioxide"",""units"":""ppb"",""concentration"":""5.14""},""o3"":{""pollutant_description"":""Ozone"",""units"":""ppb"",""concentration"":""23.13""},""pm10"":{""pollutant_description"":""Inhalable particulate matter (\u003c10µm)"",""units"":""ug/m3"",""concentration"":""27.41""},""pm25"":{""pollutant_description"":""Fine particulate matter (\u003c2.5µm)"",""units"":""ug/m3"",""concentration"":""19.39""},""so2"":{""pollutant_description"":""Sulfur dioxide"",""units"":""ppb"",""concentration"":""1.75""}}}"
Alwal,17.4980973,78.5027043,35,pm2.5,"{""datetime"":""2018-11-17T17:00:00"",""country_name"":""India"",""breezometer_aqi"":""35"",""breezometer_color"":""#FFA800"",""breezometer_description"":""Low air quality"",""country_aqi"":""82"",""country_aqi_prefix"":"""",""country_color"":""#92D050"",""country_description"":""Satisfactory air quality"",""data_valid"":""true"",""key_valid"":""true"",""random_recommendations"":{""children"":""We advise you to limit the amount of time your kids are outside"",""sport"":""In this condition, it is highly recommended that you minimize your outdoor physical activity"",""health"":""There is a strong chance for respiratory distress for those with respiratory sensitivities"",""inside"":""C'mon, there's nothing wrong with spending some quality time at home, with the A/C on"",""outside"":""You don't have to stay inside but try to find a cleaner place in the area""},""dominant_pollutant_canonical_name"":""pm25"",""dominant_pollutant_description"":""Fine particulate matter (\u003c2.5µm)"",""dominant_pollutant_text"":{""main"":""The dominant pollutant is fine particulate matter (PM2.5)."",""effects"":""Particles enter the lungs and cause local and systemic inflammation in the respiratory system \u0026 heart, thus cause cardiovascular and respiratory diseases such as asthma and bronchitis."",""causes"":""Main sources are fuel burning processes in industry, transportation and indoor heating.""},""pollutants"":{""co"":{""pollutant_description"":""Carbon monoxide"",""units"":""ppb"",""concentration"":""546.85""},""nh3"":{""pollutant_description"":""Ammonia"",""units"":""ppb"",""concentration"":""""},""no2"":{""pollutant_description"":""Nitrogen dioxide"",""units"":""ppb"",""concentration"":""41.06""},""o3"":{""pollutant_description"":""Ozone"",""units"":""ppb"",""concentration"":""13.47""},""pm10"":{""pollutant_description"":""Inhalable particulate matter (\u003c10µm)"",""units"":""ug/m3"",""concentration"":""109.21""},""pm25"":{""pollutant_description"":""Fine particulate matter (\u003c2.5µm)"",""units"":""ug/m3"",""concentration"":""59.4""},""so2"":{""pollutant_description"":""Sulfur dioxide"",""units"":""ppb"",""concentration"":""2.46""}}}"
Anakapalle,17.6895915,82.9977331,33,pm10,"{""datetime"":""2018-11-17T17:00:00"",""country_name"":""India"",""breezometer_aqi"":""33"",""breezometer_color"":""#FF9D00"",""breezometer_description"":""Low air quality"",""country_aqi"":""127"",""country_aqi_prefix"":"""",""country_color"":""#FFFF00"",""country_description"":""Moderate air quality"",""data_valid"":""true"",""key_valid"":""true"",""random_recommendations"":{""children"":""We advise you to limit the amount of time your kids are outside"",""sport"":""With this air quality level, you should check the area for cleaner places to engage in outdoor activity"",""health"":""There is a strong chance for respiratory distress for those with respiratory sensitivities"",""inside"":""C'mon, there's nothing wrong with spending some quality time at home, with the A/C on"",""outside"":""Unless you really have to, our recommendation is to minimize your time outdoors""},""dominant_pollutant_canonical_name"":""pm10"",""dominant_pollutant_description"":""Inhalable particulate matter (\u003c10µm)"",""dominant_pollutant_text"":{""main"":""The dominant pollutant is inhalable particulate matter (PM10)."",""effects"":""Particles enter the lungs and cause local and systemic inflammation in the respiratory system \u0026 heart, thus cause cardiovascular and respiratory diseases such as asthma and bronchitis."",""causes"":""Main sources are natural dust, smoke and pollen.""},""pollutants"":{""co"":{""pollutant_description"":""Carbon monoxide"",""units"":""ppb"",""concentration"":""525.33""},""nh3"":{""pollutant_description"":""Ammonia"",""units"":""ppb"",""concentration"":""""},""no2"":{""pollutant_description"":""Nitrogen dioxide"",""units"":""ppb"",""concentration"":""15.9""},""o3"":{""pollutant_description"":""Ozone"",""units"":""ppb"",""concentration"":""20.41""},""pm10"":{""pollutant_description"":""Inhalable particulate matter (\u003c10µm)"",""units"":""ug/m3"",""concentration"":""124.23""},""pm25"":{""pollutant_description"":""Fine particulate matter (\u003c2.5µm)"",""units"":""ug/m3"",""concentration"":""57.09""},""so2"":{""pollutant_description"":""Sulfur dioxide"",""units"":""ppb"",""concentration"":""1.24""}}}"
Anantapur,14.6818877,77.6005911,75,pm2.5,"{""datetime"":""2018-11-17T17:00:00"",""country_name"":""India"",""breezometer_aqi"":""75"",""breezometer_color"":""#6EC634"",""breezometer_description"":""Good air quality"",""country_aqi"":""76"",""country_aqi_prefix"":"""",""country_color"":""#92D050"",""country_description"":""Satisfactory air quality"",""data_valid"":""true"",""key_valid"":""true"",""random_recommendations"":{""children"":""No reason to panic, but pay attention to changes in air quality and any signals of breathing problems in your children"",""sport"":""You can exercise outdoors - but make sure to stay alert to our notifications"",""health"":""Exposure to air hazards is dangerous for people with health sensitivities, so it is important to monitor air quality at this time"",""inside"":""The air quality is still good - we'll keep you updated if things get worse"",""outside"":""You can go out, but please pay attention for changes in air quality""},""dominant_pollutant_canonical_name"":""pm25"",""dominant_pollutant_description"":""Fine particulate matter (\u003c2.5µm)"",""dominant_pollutant_text"":{""main"":""The dominant pollutant is fine particulate matter (PM2.5)."",""effects"":""Particles enter the lungs and cause local and systemic inflammation in the respiratory system \u0026 heart, thus cause cardiovascular and respiratory diseases such as asthma and bronchitis."",""causes"":""Main sources are fuel burning processes in industry, transportation and indoor heating.""},""pollutants"":{""co"":{""pollutant_description"":""Carbon monoxide"",""units"":""ppb"",""concentration"":""227.5""},""nh3"":{""pollutant_description"":""Ammonia"",""units"":""ppb"",""concentration"":""""},""no2"":{""pollutant_description"":""Nitrogen dioxide"",""units"":""ppb"",""concentration"":""3.18""},""o3"":{""pollutant_description"":""Ozone"",""units"":""ppb"",""concentration"":""31.89""},""pm10"":{""pollutant_description"":""Inhalable particulate matter (\u003c10µm)"",""units"":""ug/m3"",""concentration"":""22.34""},""pm25"":{""pollutant_description"":""Fine particulate matter (\u003c2.5µm)"",""units"":""ug/m3"",""concentration"":""15.76""},""so2"":{""pollutant_description"":""Sulfur dioxide"",""units"":""ppb"",""concentration"":""1.46""}}}"
Bapatla,15.9039445,80.4671375,50,pm2.5,"{""datetime"":""2018-11-17T17:00:00"",""country_name"":""India"",""breezometer_aqi"":""50"",""breezometer_color"":""#FFFF00"",""breezometer_description"":""Moderate air quality"",""country_aqi"":""50"",""country_aqi_prefix"":"""",""country_color"":""#00B050"",""country_description"":""Good air quality"",""data_valid"":""true"",""key_valid"":""true"",""random_recommendations"":{""children"":""Pay attention to the respiratory status of your kid(s)"",""sport"":""You should look for an alternative area with better air quality to work out"",""health"":""Exposure to air hazards is dangerous for people with health sensitivities, so it is important to monitor air quality at this time"",""inside"":""You don't have to stay inside, but it's recommended that you keep tracking the air quality"",""outside"":""If you wish to stay outside for a long time, you should try to find a cleaner place nearby""},""dominant_pollutant_canonical_name"":""pm25"",""dominant_pollutant_description"":""Fine particulate matter (\u003c2.5µm)"",""dominant_pollutant_text"":{""main"":""The dominant pollutant is fine particulate matter (PM2.5)."",""effects"":""Particles enter the lungs and cause local and systemic inflammation in the respiratory system \u0026 heart, thus cause cardiovascular and respiratory diseases such as asthma and bronchitis."",""causes"":""Main sources are fuel burning processes in industry, transportation and indoor heating.""},""pollutants"":{""co"":{""pollutant_description"":""Carbon monoxide"",""units"":""ppb"",""concentration"":""523.65""},""nh3"":{""pollutant_description"":""Ammonia"",""units"":""ppb"",""concentration"":""""},""no2"":{""pollutant_description"":""Nitrogen dioxide"",""units"":""ppb"",""concentration"":""24.18""},""o3"":{""pollutant_description"":""Ozone"",""units"":""ppb"",""concentration"":""13.2""},""pm10"":{""pollutant_description"":""Inhalable particulate matter (\u003c10µm)"",""units"":""ug/m3"",""concentration"":""61.63""},""pm25"":{""pollutant_description"":""Fine particulate matter (\u003c2.5µm)"",""units"":""ug/m3"",""concentration"":""34.68""},""so2"":{""pollutant_description"":""Sulfur dioxide"",""units"":""ppb"",""concentration"":""4.03""}}}"
Belampalli,19.0715572,79.4911758,28,pm2.5,"{""datetime"":""2018-11-17T17:00:00"",""country_name"":""India"",""breezometer_aqi"":""28"",""breezometer_color"":""#FF7E00"",""breezometer_description"":""Low air quality"",""country_aqi"":""151"",""country_aqi_prefix"":"""",""country_color"":""#FFFF00"",""country_description"":""Moderate air quality"",""data_valid"":""true"",""key_valid"":""true"",""random_recommendations"":{""children"":""Think about your children's health. Now is not the time to go outside with them"",""sport"":""With this air quality level, you should check the area for cleaner places to engage in outdoor activity"",""health"":""Don't take any chances - keep your prescription medication(s) nearby \u0026 limit your physical activity"",""inside"":""C'mon, there's nothing wrong with spending some quality time at home, with the A/C on"",""outside"":""In these conditions you should minimize your time outside as much as possible""},""dominant_pollutant_canonical_name"":""pm25"",""dominant_pollutant_description"":""Fine particulate matter (\u003c2.5µm)"",""dominant_pollutant_text"":{""main"":""The dominant pollutant is fine particulate matter (PM2.5)."",""effects"":""Particles enter the lungs and cause local and systemic inflammation in the respiratory system \u0026 heart, thus cause cardiovascular and respiratory diseases such as asthma and bronchitis."",""causes"":""Main sources are fuel burning processes in industry, transportation and indoor heating.""},""pollutants"":{""co"":{""pollutant_description"":""Carbon monoxide"",""units"":""ppb"",""concentration"":""565.09""},""nh3"":{""pollutant_description"":""Ammonia"",""units"":""ppb"",""concentration"":""""},""no2"":{""pollutant_description"":""Nitrogen dioxide"",""units"":""ppb"",""concentration"":""11.48""},""o3"":{""pollutant_description"":""Ozone"",""units"":""ppb"",""concentration"":""28.73""},""pm10"":{""pollutant_description"":""Inhalable particulate matter (\u003c10µm)"",""units"":""ug/m3"",""concentration"":""115.72""},""pm25"":{""pollutant_description"":""Fine particulate matter (\u003c2.5µm)"",""units"":""ug/m3"",""concentration"":""82.44""},""so2"":{""pollutant_description"":""Sulfur dioxide"",""units"":""ppb"",""concentration"":""7.34""}}}"
Bhimavaram,16.544893,81.521241,36,pm2.5,"{""datetime"":""2018-11-17T17:00:00"",""country_name"":""India"",""breezometer_aqi"":""36"",""breezometer_color"":""#FFAE00"",""breezometer_description"":""Low air quality"",""country_aqi"":""85"",""country_aqi_prefix"":"""",""country_color"":""#92D050"",""country_description"":""Satisfactory air quality"",""data_valid"":""true"",""key_valid"":""true"",""random_recommendations"":{""children"":""Think about your children's health. Now is not the time to go outside with them"",""sport"":""With this air quality level, you should check the area for cleaner places to engage in outdoor activity"",""health"":""Suffering from respiratory difficulties? Please refrain from physical activity. Keep your prescription medication within reach"",""inside"":""C'mon, there's nothing wrong with spending some quality time at home, with the A/C on"",""outside"":""In these conditions you should minimize your time outside as much as possible""},""dominant_pollutant_canonical_name"":""pm25"",""dominant_pollutant_description"":""Fine particulate matter (\u003c2.5µm)"",""dominant_pollutant_text"":{""main"":""The dominant pollutant is fine particulate matter (PM2.5)."",""effects"":""Particles enter the lungs and cause local and systemic inflammation in the respiratory system \u0026 heart, thus cause cardiovascular and respiratory diseases such as asthma and bronchitis."",""causes"":""Main sources are fuel burning processes in industry, transportation and indoor heating.""},""pollutants"":{""co"":{""pollutant_description"":""Carbon monoxide"",""units"":""ppb"",""concentration"":""805.34""},""nh3"":{""pollutant_description"":""Ammonia"",""units"":""ppb"",""concentration"":""""},""no2"":{""pollutant_description"":""Nitrogen dioxide"",""units"":""ppb"",""concentration"":""23.06""},""o3"":{""pollutant_description"":""Ozone"",""units"":""ppb"",""concentration"":""15.23""},""pm10"":{""pollutant_description"":""Inhalable particulate matter (\u003c10µm)"",""units"":""ug/m3"",""concentration"":""75.51""},""pm25"":{""pollutant_description"":""Fine particulate matter (\u003c2.5µm)"",""units"":""ug/m3"",""concentration"":""55.45""},""so2"":{""pollutant_description"":""Sulfur dioxide"",""units"":""ppb"",""concentration"":""6.48""}}}"
Bhongir,17.5035389,78.8892146,38,pm2.5,"{""datetime"":""2018-11-17T17:00:00"",""country_name"":""India"",""breezometer_aqi"":""38"",""breezometer_color"":""#FFBA00"",""breezometer_description"":""Low air quality"",""country_aqi"":""60"",""country_aqi_prefix"":"""",""country_color"":""#92D050"",""country_description"":""Satisfactory air quality"",""data_valid"":""true"",""key_valid"":""true"",""random_recommendations"":{""children"":""Keep calm and stay indoors. Do it for the kids…"",""sport"":""You don’t want to do your workout in this environment. Find a cleaner area"",""health"":""Suffering from respiratory difficulties? Please refrain from physical activity. Keep your prescription medication within reach"",""inside"":""If we were you – we would stay in a closed environment, with the A/C powered on"",""outside"":""You don't have to stay inside but try to find a cleaner place in the area""},""dominant_pollutant_canonical_name"":""pm25"",""dominant_pollutant_description"":""Fine particulate matter (\u003c2.5µm)"",""dominant_pollutant_text"":{""main"":""The dominant pollutant is fine particulate matter (PM2.5)."",""effects"":""Particles enter the lungs and cause local and systemic inflammation in the respiratory system \u0026 heart, thus cause cardiovascular and respiratory diseases such as asthma and bronchitis."",""causes"":""Main sources are fuel burning processes in industry, transportation and indoor heating.""},""pollutants"":{""co"":{""pollutant_description"":""Carbon monoxide"",""units"":""ppb"",""concentration"":""506.12""},""nh3"":{""pollutant_description"":""Ammonia"",""units"":""ppb"",""concentration"":""""},""no2"":{""pollutant_description"":""Nitrogen dioxide"",""units"":""ppb"",""concentration"":""22.44""},""o3"":{""pollutant_description"":""Ozone"",""units"":""ppb"",""concentration"":""17.58""},""pm10"":{""pollutant_description"":""Inhalable particulate matter (\u003c10µm)"",""units"":""ug/m3"",""concentration"":""81.62""},""pm25"":{""pollutant_description"":""Fine particulate matter (\u003c2.5µm)"",""units"":""ug/m3"",""concentration"":""49.01""},""so2"":{""pollutant_description"":""Sulfur dioxide"",""units"":""ppb"",""concentration"":""2.3""}}}"
Bobbili,18.5735047,83.3583654,25,pm2.5,"{""datetime"":""2018-11-17T17:00:00"",""country_name"":""India"",""breezometer_aqi"":""25"",""breezometer_color"":""#FF6900"",""breezometer_description"":""Low air quality"",""country_aqi"":""148"",""country_aqi_prefix"":"""",""country_color"":""#FFFF00"",""country_description"":""Moderate air quality"",""data_valid"":""true"",""key_valid"":""true"",""random_recommendations"":{""children"":""We advise you to limit the amount of time your kids are outside"",""sport"":""You don’t want to do your workout in this environment. Find a cleaner area"",""health"":""There is a strong chance for respiratory distress for those with respiratory sensitivities"",""inside"":""C'mon, there's nothing wrong with spending some quality time at home, with the A/C on"",""outside"":""You don't have to stay inside but try to find a cleaner place in the area""},""dominant_pollutant_canonical_name"":""pm25"",""dominant_pollutant_description"":""Fine particulate matter (\u003c2.5µm)"",""dominant_pollutant_text"":{""main"":""The dominant pollutant is fine particulate matter (PM2.5)."",""effects"":""Particles enter the lungs and cause local and systemic inflammation in the respiratory system \u0026 heart, thus cause cardiovascular and respiratory diseases such as asthma and bronchitis."",""causes"":""Main sources are fuel burning processes in industry, transportation and indoor heating.""},""pollutants"":{""co"":{""pollutant_description"":""Carbon monoxide"",""units"":""ppb"",""concentration"":""758.47""},""nh3"":{""pollutant_description"":""Ammonia"",""units"":""ppb"",""concentration"":""""},""no2"":{""pollutant_description"":""Nitrogen dioxide"",""units"":""ppb"",""concentration"":""15.63""},""o3"":{""pollutant_description"":""Ozone"",""units"":""ppb"",""concentration"":""17.75""},""pm10"":{""pollutant_description"":""Inhalable particulate matter (\u003c10µm)"",""units"":""ug/m3"",""concentration"":""132.15""},""pm25"":{""pollutant_description"":""Fine particulate matter (\u003c2.5µm)"",""units"":""ug/m3"",""concentration"":""91.79""},""so2"":{""pollutant_description"":""Sulfur dioxide"",""units"":""ppb"",""concentration"":""31.17""}}}"
